City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,10.02,66,0,6.17,IS,1689515619
1,bilibino,68.0546,166.4372,18.66,52,2,1.87,RU,1689515619
2,emirgazi,37.9022,33.8372,29.5,19,0,8.88,TR,1689515619
3,college,64.8569,-147.8028,14.94,87,75,2.57,US,1689515528
4,fortaleza,-3.7227,-38.5247,29.07,70,75,7.72,BR,1689515411
5,luderitz,-26.6481,15.1594,21.77,41,0,5.56,NA,1689515620
6,sinan,34.8262,126.1086,23.06,96,29,4.9,KR,1689515620
7,chonchi,-42.6128,-73.8092,1.73,86,7,1.13,CL,1689515620
8,port-aux-francais,-49.35,70.2167,2.07,61,19,14.48,TF,1689515620
9,ushuaia,-54.8,-68.3,2.81,81,75,6.17,AR,1689515621
10,rongelap,11.1635,166.8941,28.18,79,92,6.19,MH,1689515621
11,lovington,32.944,-103.3485,23.47,69,32,0.45,US,1689515621
12,saint-philippe,-21.3585,55.7679,22.77,86,61,7.24,RE,1689515621
13,tura,25.5198,90.2201,24.83,90,100,2.44,IN,1689515622
14,port mathurin,-19.6833,63.4167,23.59,79,1,11.18,MU,1689515622
15,porto novo,6.4965,2.6036,29.9,63,83,5.21,BJ,1689515622
16,waitangi,-43.9535,-176.5597,9.34,81,100,8.16,NZ,1689515622
17,mbanza-ngungu,-5.25,14.8667,35.06,22,3,1.48,CD,1689515622
18,murzuq,25.9155,13.9184,38.33,9,10,4.92,LY,1689515623
19,edinburgh of the seven seas,-37.0676,-12.3116,13.59,77,13,13.97,SH,1689515623
20,angel r. cabada,18.5833,-95.4333,26.63,79,19,1.21,MX,1689515485
21,kismayo,-0.3582,42.5454,26.16,72,53,8.7,SO,1689515623
22,itoman,26.1247,127.6694,28.43,86,75,6.69,JP,1689515623
23,iqaluit,63.7506,-68.5145,8.85,87,75,3.09,CA,1689515624
24,fisterra,42.9049,-9.2629,20.97,66,44,5.15,ES,1689515624
25,blackmans bay,-43.0167,147.3167,12.63,64,51,5.36,AU,1689515624
26,shimoda,34.6667,138.95,26.72,92,59,5.85,JP,1689515624
27,puerto natales,-51.7236,-72.4875,-0.75,80,20,4.63,CL,1689515624
28,alofi,-19.0595,-169.9187,20.94,88,100,4.63,NU,1689515625
29,grytviken,-54.2811,-36.5092,-4.79,78,72,1.43,GS,1689515625
30,utrik,11.2278,169.8474,27.97,80,98,6.4,MH,1689515625
31,hithadhoo,-0.6,73.0833,28.21,73,9,0.79,MV,1689515625
32,dhidhdhoo,6.8833,73.1,28.19,80,88,6.26,MV,1689515626
33,palikir - national government center,6.9248,158.1611,26.44,85,100,6.6,FM,1689515626
34,belyy yar,53.6039,91.3903,17.94,68,20,3.0,RU,1689515626
35,nyurba,63.2842,118.3319,8.97,77,35,2.38,RU,1689515627
36,st. john's,47.5649,-52.7093,25.71,75,75,4.63,CA,1689515627
37,harper,4.375,-7.7169,26.74,78,73,4.66,LR,1689515627
38,tiksi,71.6872,128.8694,4.24,94,100,1.22,RU,1689515628
39,margaret river,-33.95,115.0667,16.05,67,100,6.67,AU,1689515628
40,iquitos,-3.7481,-73.2472,24.02,100,75,1.03,PE,1689515628
41,pfaffikon,47.3645,8.792,26.82,58,40,2.06,CH,1689515629
42,east london,-33.0153,27.9116,20.52,49,0,4.63,ZA,1689515629
43,albany,42.6001,-73.9662,23.68,94,100,0.99,US,1689515368
